icao,site,observed_utc,observed_local,flight_category,temp_c,dewpoint_c,wind_dir_deg,wind_kts,gust_kts,vis_sm,altimeter_hpa,raw_text,fetched_at_utc,fetched_at_local,site_name,site_lat,site_lon,country,region
KAEJ,"Buena Vista/Central Colorado Rgnl, CO, US",2025-10-03T18:35:00Z,2025-10-03 18:35:00,NA,22.2,-1.2,150,13,21,NA,1026.2,METAR KAEJ 031835Z AUTO 15013G21KT CLR 22/M01 A3030 RMK AO2 T02221012 PWINO,2025-10-03T18:47:05Z,2025-10-03T14:47:05Z,Central Colorado Regional Airport,38.812906,-106.120062,US,US-CO
KAEJ,"Buena Vista/Central Colorado Rgnl, CO, US",2025-10-03T18:55:00Z,2025-10-03 18:55:00,NA,23.2,-1.2,170,8,0,NA,1026.2,METAR KAEJ 031855Z AUTO 17008KT CLR 23/M01 A3030 RMK AO2 T02321012 PWINO,2025-10-03T18:58:26Z,2025-10-03T14:58:26Z,Central Colorado Regional Airport,38.812906,-106.120062,US,US-CO
KAEL,"Albert Lea Muni, MN, US",2025-10-03T17:55:00Z,2025-10-03 12:55:00,VFR,30.2,15.8,230,6,0,NA,1019.7,METAR KAEL 031755Z AUTO 23006KT 10SM CLR 30/16 A3011 RMK AO2 T03020158 10302 20169 58010,2025-10-03T18:05:12Z,2025-10-03T14:05:12Z,Albert Lea Municipal Airport,43.68149948,-93.36720276,US,US-MN
KAEL,"Albert Lea Muni, MN, US",2025-10-03T18:15:00Z,2025-10-03 13:15:00,VFR,30.9,15.6,220,9,0,NA,1019.4,METAR KAEL 031815Z AUTO 22009KT 10SM CLR 31/16 A3010 RMK AO2 T03090156,2025-10-03T18:21:36Z,2025-10-03T14:21:36Z,Albert Lea Municipal Airport,43.68149948,-93.36720276,US,US-MN
KAEL,"Albert Lea Muni, MN, US",2025-10-03T18:35:00Z,2025-10-03 13:35:00,VFR,30.8,14.9,200,8,0,NA,1019,METAR KAEL 031835Z AUTO 20008KT 10SM CLR 31/15 A3009 RMK AO2 T03080149,2025-10-03T18:47:05Z,2025-10-03T14:47:05Z,Albert Lea Municipal Airport,43.68149948,-93.36720276,US,US-MN
KAEL,"Albert Lea Muni, MN, US",2025-10-03T18:55:00Z,2025-10-03 13:55:00,VFR,31,14.7,210,10,0,NA,1018.7,METAR KAEL 031855Z AUTO 21010KT 10SM CLR 31/15 A3008 RMK AO2 T03100147,2025-10-03T18:58:26Z,2025-10-03T14:58:26Z,Albert Lea Municipal Airport,43.68149948,-93.36720276,US,US-MN
KAEX,"Alexandria Intl, LA, US",2025-10-03T17:53:00Z,2025-10-03 12:53:00,VFR,30,14.4,60,9,16,NA,1020.4,METAR KAEX 031753Z 06009G16KT 10SM CLR 30/14 A3013 RMK AO2 SLP207 T03000144 10300 20194 58010,2025-10-03T18:05:12Z,2025-10-03T14:05:12Z,Alexandria International Airport,31.3274,-92.549797,US,US-LA
KAEX,"Alexandria Intl, LA, US",2025-10-03T18:53:00Z,2025-10-03 13:53:00,VFR,30.6,12.8,30,10,17,NA,1019.4,METAR KAEX 031853Z 03010G17KT 10SM CLR 31/13 A3010 RMK AO2 SLP195 T03060128,2025-10-03T18:58:26Z,2025-10-03T14:58:26Z,Alexandria International Airport,31.3274,-92.549797,US,US-LA
KAFF,"Air Force Academy Arfld, CO, US",2025-10-03T17:55:00Z,2025-10-03 11:55:00,VFR,26.2,-0.8,130,5,0,NA,1022.8,METAR KAFF 031755Z AUTO 13005KT 10SM CLR 26/M01 A3020 RMK AO2 SLPNO T02621008 10262 20069 57009,2025-10-03T18:05:12Z,2025-10-03T14:05:12Z,USAF Academy Airfield,38.972497,-104.821125,US,US-CO
KAFF,"Air Force Academy Arfld, CO, US",2025-10-03T18:04:00Z,2025-10-03 12:04:00,VFR,26,-1,170,6,0,9,1022.4,SPECI KAFF 031804Z 17006KT 9SM CLR 26/M01 A3019 RMK AO2A SLP132,2025-10-03T18:21:36Z,2025-10-03T14:21:36Z,USAF Academy Airfield,38.972497,-104.821125,US,US-CO
KAFF,"Air Force Academy Arfld, CO, US",2025-10-03T18:55:00Z,2025-10-03 12:55:00,VFR,27.2,-0.8,160,10,0,NA,1021.4,METAR KAFF 031855Z AUTO 16010KT 10SM CLR 27/M01 A3016 RMK AO2 SLP128 T02721008,2025-10-03T18:58:26Z,2025-10-03T14:58:26Z,USAF Academy Airfield,38.972497,-104.821125,US,US-CO
KAFJ,"Washington Cnty Arpt, PA, US",2025-10-03T17:56:00Z,2025-10-03 13:56:00,VFR,24.4,11.7,VAR,4,0,9,1026.5,METAR KAFJ 031756Z AUTO VRB04KT 9SM CLR 24/12 A3031 RMK AO2 SLP260 T02440117 10244 20100 58020 $,2025-10-03T18:05:12Z,2025-10-03T14:05:12Z,Washington County Airport,40.136501,-80.290199,US,US-PA
KAFJ,"Washington Cnty Arpt, PA, US",2025-10-03T18:56:00Z,2025-10-03 14:56:00,VFR,25,11.7,VAR,3,0,NA,1025.8,METAR KAFJ 031856Z AUTO VRB03KT 10SM CLR 25/12 A3029 RMK AO2 SLP253 T02500117 $,2025-10-03T18:58:25Z,2025-10-03T14:58:25Z,Washington County Airport,40.136501,-80.290199,US,US-PA
KAFK,"Nebraska City Muni, NE, US",2025-10-03T17:55:00Z,2025-10-03 17:55:00,VFR,29.7,17.8,190,9,17,NA,1020.4,METAR KAFK 031755Z AUTO 19009G17KT 10SM CLR 30/18 A3013 RMK AO2 T02970178 10298 20165,2025-10-03T18:05:12Z,2025-10-03T14:05:12Z,Nebraska City Municipal Airport,40.606899,-95.8657,US,US-NE
KAFK,"Nebraska City Muni, NE, US",2025-10-03T18:15:00Z,2025-10-03 18:15:00,VFR,30,17.8,200,13,17,NA,1020.1,METAR KAFK 031815Z AUTO 20013G17KT 10SM CLR 30/18 A3012 RMK AO2 T03000178,2025-10-03T18:21:36Z,2025-10-03T14:21:36Z,Nebraska City Municipal Airport,40.606899,-95.8657,US,US-NE
KAFK,"Nebraska City Muni, NE, US",2025-10-03T18:35:00Z,2025-10-03 18:35:00,VFR,30.3,18,180,11,16,NA,1019.7,METAR KAFK 031835Z AUTO 18011G16KT 10SM CLR 30/18 A3011 RMK AO2 T03030180,2025-10-03T18:47:05Z,2025-10-03T14:47:05Z,Nebraska City Municipal Airport,40.606899,-95.8657,US,US-NE
KAFN,"Jaffrey Muni, NH, US",2025-10-03T17:52:00Z,2025-10-03 13:52:00,VFR,21.1,6.7,250,6,0,NA,1024.5,METAR KAFN 031752Z AUTO 25006KT 10SM CLR 21/07 A3025 RMK AO2 SLP252 T02110067 10211 20067 58023,2025-10-03T18:05:12Z,2025-10-03T14:05:12Z,Jaffrey Airfield Silver Ranch Airport,42.805099,-72.002998,US,US-NH
