"icao","site","observed_utc","observed_local","flight_category","temp_c","dewpoint_c","wind_dir_deg","wind_kts","gust_kts","vis_sm","altimeter_hpa","raw_text","fetched_at_utc","fetched_at_local"
"PAIM","Indian Mtn Arpt, AK, US",2025-09-24 02:55:00,"2025-09-23 18:55:00","VFR",1.6,-2.8,120,2,NA,NA,1000.1,"METAR PAIM 240255Z AUTO 12002KT 10SM FEW033 OVC040 02/M03 A2953 RMK AO2 SLP017 T00161028 57010",2025-09-24 03:46:21.275531,2025-09-23 23:46:21.275574
"PHHI","Wheeler(AAF), HI, US",2025-09-24 02:55:00,"2025-09-23 16:55:00","VFR",27.2,18.2,50,13,19,NA,1015,"METAR PHHI 240255Z AUTO 05013G19KT 10SM CLR 27/18 A2997 RMK AO2 SLP139 60000 T02720182 55005 $",2025-09-24 03:46:21.281952,2025-09-23 23:46:21.281996
"PASV","Sparrevohn Arpt, AK, US",2025-09-24 02:55:00,"2025-09-23 18:55:00","VFR",5.1,-2.2,130,2,NA,NA,995.7,"METAR PASV 240255Z AUTO 13002KT 10SM SCT039 SCT150 BKN160 05/M02 A2940 RMK AO2 SLP970 T00511022 57022",2025-09-24 03:46:21.288395,2025-09-23 23:46:21.288441
"PATL","Tatalina Arpt, AK, US",2025-09-24 02:55:00,"2025-09-23 18:55:00","VFR",4.8,-4.5,NA,5,NA,NA,999.1,"METAR PATL 240255Z AUTO VRB05KT 10SM CLR 05/M04 A2950 RMK AO2 SLP999 T00481045 57018",2025-09-24 03:46:21.29485,2025-09-23 23:46:21.294894
"PAKN","King Salmon Arpt, AK, US",2025-09-24 02:54:00,"2025-09-23 18:54:00","VFR",7.2,2.8,80,9,NA,NA,991.6,"METAR PAKN 240254Z 08009KT 10SM -RA OVC046 07/03 A2928 RMK AO2 RAE25B50 SLP914 P0000 60001 T00720028 56044",2025-09-24 03:46:21.301238,2025-09-23 23:46:21.301283
"PAKT","Ketchikan Intl, AK, US",2025-09-24 02:53:00,"2025-09-23 18:53:00","VFR",10,10,200,4,NA,NA,1021.1,"METAR PAKT 240253Z 20004KT 10SM SCT050 BKN070 10/10 A3015 RMK AO2 RAE0154 SLP210 HARBOR WIND 08005KT P0000 60003 T01000100 51008 $",2025-09-24 03:46:21.307595,2025-09-23 23:46:21.307638
"PAMC","McGrath Arpt, AK, US",2025-09-24 02:53:00,"2025-09-23 18:53:00","VFR",7.2,-4.4,NA,3,NA,NA,998.7,"METAR PAMC 240253Z AUTO VRB03KT 10SM CLR 07/M04 A2949 RMK AO2 SLP991 T00721044 58018 TSNO $",2025-09-24 03:46:21.314006,2025-09-23 23:46:21.31405
"PHJR","Kalaeloa Arpt, HI, US",2025-09-24 02:53:00,"2025-09-23 16:53:00","VFR",28.9,17.8,40,7,19,NA,1014,"METAR PHJR 240253Z 04007G19KT 10SM CLR 29/18 A2994 RMK AO2 SLP146 T02890178 55005",2025-09-24 03:46:21.320469,2025-09-23 23:46:21.320513
"PHKO","Keahole Point/Kona Intl, HI, US",2025-09-24 02:53:00,"2025-09-23 16:53:00","VFR",29.4,20.6,230,9,NA,NA,1012.3,"METAR PHKO 240253Z 23009KT 10SM CLR 29/21 A2989 RMK AO2 SLP121 T02940206 55004",2025-09-24 03:46:21.33844,2025-09-23 23:46:21.338512
"PALH","Lake Hood, AK, US",2025-09-24 02:53:00,"2025-09-24 02:53:00",NA,6.7,2.8,30,3,NA,NA,1001.4,"METAR PALH 240253Z AUTO 03003KT 10SM 07/03 A2957 RMK AO2 SLP014 T00670028 58008 TSNO",2025-09-24 03:46:21.345557,2025-09-23 23:46:21.345603
