"icao","site","observed_utc","observed_local","flight_category","temp_c","dewpoint_c","wind_dir_deg","wind_kts","gust_kts","vis_sm","altimeter_hpa","raw_text","fetched_at_utc","fetched_at_local"
"CYGR","Îles de la Madeleine Arpt, QC, CA",2025-11-03 13:00:00,"2025-11-03 09:00:00","VFR",7,2,300,4,NA,20,1019.4,"METAR CYGR 031300Z 30004KT 230V320 20SM -SHRA BKN044 BKN270 07/02 A3010 RMK CU5CI2 SLP196",2025-11-03 13:28:57.728834,2025-11-03 08:28:57.728871
"CYGT","Igloolik Arpt, NU, CA",2025-11-03 13:00:00,"2025-11-03 08:00:00","IFR",-2,-3,150,19,25,NA,994.3,"METAR CYGT 031300Z 15019G25KT 10SM -SN DRSN OVC006 M02/M03 A2936 RMK ST8 SLP949",2025-11-03 13:28:57.735,2025-11-03 08:28:57.735058
"CYHA","Quaqtaq Arpt, QC, CA",2025-11-03 13:00:00,"2025-11-03 08:00:00","VFR",0,-1,140,12,NA,15,998.7,"METAR CYHA 031300Z 14012KT 15SM FEW011 OVC034 00/M01 A2949 RMK ST1SC8 ST TR CIG RAG SLP989",2025-11-03 13:28:57.741208,2025-11-03 08:28:57.741249
"CYHD","Dryden Rgnl, ON, CA",2025-11-03 13:00:00,"2025-11-03 07:00:00","VFR",2,-2,260,12,17,9,1006.5,"METAR CYHD 031300Z AUTO 26012G17KT 9SM FEW250 02/M02 A2972 RMK SLP082",2025-11-03 13:28:57.747447,2025-11-03 08:28:57.747485
"CYCK","Chatham/Kent Arpt, ON, CA",2025-11-03 13:00:00,"2025-11-03 08:00:00","VFR",8,2,240,18,24,9,1015,"METAR CYCK 031300Z AUTO 24018G24KT 9SM SCT100 OVC120 08/02 A2997 RMK SLP156",2025-11-03 13:28:57.75344,2025-11-03 08:28:57.753477
"CYHY","Hay River/Carter Arpt, NT, CA",2025-11-03 13:00:00,"2025-11-03 06:00:00","VFR",1,-3,270,7,NA,15,999.7,"METAR CYHY 031300Z 27007KT 15SM OVC100 01/M03 A2952 RMK AC8 SLP009",2025-11-03 13:28:57.759485,2025-11-03 08:28:57.759521
"CYIK","Ivujivik Arpt, QC, CA",2025-11-03 13:00:00,"2025-11-03 08:00:00","VFR",1,-1,120,16,NA,15,990.9,"METAR CYIK 031300Z 12016KT 15SM OVC070 01/M01 A2926 RMK AS8 SLP912",2025-11-03 13:28:57.765551,2025-11-03 08:28:57.76559
"CYKA","Kamloops Arpt, BC, CA",2025-11-03 13:00:00,"2025-11-03 05:00:00","VFR",2,-2,120,5,NA,30,1021.1,"METAR CYKA 031300Z 12005KT 30SM SCT180 BKN220 02/M02 A3015 RMK AC3CI2 SLP223",2025-11-03 13:28:57.771621,2025-11-03 08:28:57.771656
"CYKF","Waterloo Intl, ON, CA",2025-11-03 13:00:00,"2025-11-03 08:00:00","VFR",7,2,220,11,20,9,1013.3,"METAR CYKF 031300Z AUTO 22011G20KT 9SM SCT100 OVC120 07/02 A2992 RMK SLP140",2025-11-03 13:28:57.777633,2025-11-03 08:28:57.777669
"CYKG","Kangiqsujuaq Arpt, QC, CA",2025-11-03 13:00:00,"2025-11-03 08:00:00","MVFR",-1,-2,130,16,NA,15,995.7,"METAR CYKG 031300Z 13016KT 15SM VCSH BKN015 OVC110 M01/M02 A2940 RMK ST5AC3 SLP970",2025-11-03 13:28:57.783654,2025-11-03 08:28:57.783692
"CYKJ","Key Lake Arpt, SK, CA",2025-11-03 13:00:00,"2025-11-03 07:00:00","VFR",0,-3,250,9,NA,9,999.7,"METAR CYKJ 031300Z AUTO 25009KT 9SM CLR 00/M03 A2952 RMK SLP024",2025-11-03 13:28:57.789719,2025-11-03 08:28:57.789756
"CYKY","Kindersley Arpt, SK, CA",2025-11-03 13:00:00,"2025-11-03 07:00:00","VFR",-7,-11,190,6,NA,15,1017,"METAR CYKY 031300Z 19006KT 150V240 15SM FEW180 M07/M11 A3003 RMK AC1 AC TR SLP206",2025-11-03 13:28:57.795984,2025-11-03 08:28:57.79604
"CYHE","Hope Rgnl Airpark, BC, CA",2025-11-03 13:00:00,"2025-11-03 05:00:00","VFR",6,4,90,7,NA,9,1019.4,"METAR CYHE 031300Z AUTO 09007KT 9SM BKN130 BKN150 06/04 A3010 RMK ICE MISG SLP197",2025-11-03 13:28:57.802385,2025-11-03 08:28:57.802423
"CYLC","Kimmirut Arpt, NU, CA",2025-11-03 13:00:00,"2025-11-03 08:00:00","VFR",-4,-7,70,8,NA,15,1000.1,"METAR CYLC 031300Z 07008KT 15SM BKN044 BKN200 M04/M07 A2953 RMK SC5CS2 SLP005",2025-11-03 13:28:57.808565,2025-11-03 08:28:57.808604
